קבוצת שיוך 1,(פריטים מרובים),
,,
,,
code,name,city
1,"בוסתן הדרום בע""מ",גן הדרום
2,רמת רחל,(ריק)
36,משק פלש,רשפון
63,אחמד אבו זינה,(ריק)
66,"פורט הדרים בע""מ",(ריק)
67,קיבוץ שפיים,(ריק)
68,"חקלאות נורדיה אגש""ח בע""מ ",נורדיה
69,אורי שיווק תוצרת חקלאית בעמ,קיבוץ בארי
70,שקמה גידולי שדה,(ריק)
71,"נני שיווק תוצרת חקלאית בע""מ",גבעתיים
200,מהדרין תנופורט יצוא,בארות יצחק
201,אחים אבו זינה,(ריק)
202,ביכורי שדה דרום שווק,תימורים
203,ביכורי השדה - צפון,עפריה
208,שווק פרי וירק קריית גת,קריית גת
210,ביבי אליהו,פתח תקווה
211,יבולי ישראל,צריפין
212,נווה ירק,צריפין
214,באנה גיאהד מוחמד חליל,שכם
215,כרמלי רחובות,רחובות
216,בננות הגליל,חיפה
217,פרי וירק - טמרה,טמרה
219,"שיווק המאה בע""מ",תל מונד
220,"אבישי שווק חקלאי בע""מ",צריפין
221,"מחופית בע""מ",חיפה
222,"לוי צדיק ובניו  בע""מ",ירושלים
223,"האחים זאדה מאיר בע""מ",צריפין
226,ויצמן יצחק,רחובות
227,עוטמן חלד עזה,עזה
228,"יבולי שלמה בע""מ",צריפין
229,"אמצע השוק בע""מ",צריפין
230,"אחים פשה בע""מ",ירושלים
231,"אביב יבולים בע""מ",חיפה
232,בכר יעקב  ,רחובות
233,"ירק הגליל בע""מ",חיפה
235,"י.אסלן שווק בע""מ",חיפה
236,תנובת הערבה,ראשון לציון
238,ריבחי-עמאר אוואיב חברון,חברון
239,"יבולי הארץ ש.פ בע""מ",גדרה
241,"תוצרת חקלאית מובחרת בע""מ",חולון
244,אריות שיווק פירות וירקות,צריפין
247,ג'אבר שנטי,עזה
248,פרץ אשר,קריית גת
250,"אגרוטרה (2011) בע""מ",אבן יהודה
252,"מגדלי הערבה בע""מ",מודיעין
253,י.פסטרנק,צריפין
254,ריטייל אימפורט אל.אל.סי,Krasnodar
256,"סעידי שיווק ושינוע בע""מ",גן הדרום
257,"בסט גרוו בע""מ",מושב נהורה
258,תפוח בדבש,רעננה
259,"ביפרש בע""מ",רמת גן
260,"ישרא פלורקס טריידימג בע""מ",גבעתיים
262,"צורי ויצחק פירות וירקות בע""מ",פתח תקווה
263,"KSC אינטרנשיונל בע""מ",חיפה
